,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Note_joueurs,Nb_avis,Note_GK,Editeur,Licence,Date_Test_GK,Distributeur,Développeur,Éditeur,French_name
39,34,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,5.6,48.0,6.0,Activision Blizzard,Call of Duty,2015-11-13,,Treyarch,Activision Blizzard,Call of Duty: Black Ops 3
40,35,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,6.1,105.0,7,Activision,,,,Treyarch,,
41,36,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,6.1,105.0,7,Activision,,,,Treyarch,,
42,37,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,7.2,327.0,8.0,Activision,Call of Duty,2009-11-09,,Infinity Ward,Activision,Call of Duty : Modern Warfare 2
43,37,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,7.2,327.0,8.0,Activision,Call of Duty,2009-11-09,,Infinity Ward,Activision,Call of Duty: Modern Warfare 2
44,38,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,6.5,189.0,7.0,Activision Blizzard,Call of Duty,2011-11-10,,Infinity Ward,Activision Blizzard,Call of Duty : Modern Warfare 3
45,38,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,6.5,189.0,7.0,Activision Blizzard,Call of Duty,2011-11-10,,Infinity Ward,Activision Blizzard,Call of Duty: Modern Warfare 3
46,39,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,8.4,229.0,7.0,Rockstar Games,Grand Theft Auto (GTA),2011-12-20,Take Two Interactive,Rockstar North,Rockstar Games,Grand Theft Auto III
47,40,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,8.1,248.0,8.0,Nintendo,Mario,2008-06-27,,Sora Ltd.,Nintendo,Super Smash Bros. Brawl
48,41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,6.7,226.0,7.0,Activision,Call of Duty,2010-11-08,,Treyarch,Activision,Call of Duty : Black Ops
49,41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,6.7,226.0,7.0,Activision,Call of Duty,2010-11-08,,Treyarch,Activision,Call of Duty: Black Ops
50,42,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,7.3,72.0,7,Nintendo,,,,Nintendo,,
51,43,Mario Kart 7,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,7.9,272.0,8.0,Nintendo,Mario,2011-11-28,,Nintendo,Nintendo,Mario Kart 7
52,44,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,7.2,202.0,7.0,Xbox Game Studios,Halo,2007-09-29,Xbox Game Studios,Xbox Game Studios,Xbox Game Studios,Halo 3
53,45,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,8.5,595.0,9.0,Rockstar Games,Grand Theft Auto (GTA),2013-09-16,,Rockstar North,Rockstar Games,Grand Theft Auto V
54,46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,8.2,136.0,6,Nintendo,Pokémon ,,,Nintendo,,
55,47,Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,8.7,445.0,8.0,Nintendo,Mario,2005-03-10,Nintendo,Nintendo,Nintendo,Super Mario 64
56,48,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,8.0,103.0,8.0,Sony Interactive Entertainment Europe,Gran Turismo,2005-03-07,,Polyphony Digital,Sony Interactive Entertainment Europe,Gran Turismo 4
57,49,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,8.8,386.0,9.0,Nintendo,Mario,2007-11-09,Nintendo,Nintendo,Nintendo,Super Mario Galaxy
58,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,7.8,51.0,7,Nintendo,Pokémon ,,,,Nintendo,Pokémon Rubis Omega
59,51,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,,,,,,,,,,
60,52,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,8.0,553.0,8.666666666666666,Rockstar Games,Grand Theft Auto (GTA),2008-12-04,,Rockstar Games,Rockstar Games,Grand Theft Auto IV
61,53,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,7.1,38.0,7,Sony Interactive Entertainment,Gran Turismo ,,,Polyphony Digital,,
62,54,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,7.5,291.0,,Nintendo,Mario,2011-11-10,,Nintendo,Nintendo,Super Mario 3D Land
63,55,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,7.2,200.0,7.0,Sony Interactive Entertainment Europe,Gran Turismo,2010-11-25,,Polyphony Digital,Sony Interactive Entertainment Europe,Gran Turismo 5
64,56,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,7.2,327.0,8.0,Activision,Call of Duty,2009-11-09,,Infinity Ward,Activision,Call of Duty : Modern Warfare 2
65,56,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,7.2,327.0,8.0,Activision,Call of Duty,2009-11-09,,Infinity Ward,Activision,Call of Duty: Modern Warfare 2
66,57,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,8.0,553.0,8.666666666666666,Rockstar Games,Grand Theft Auto (GTA),2008-12-04,,Rockstar Games,Rockstar Games,Grand Theft Auto IV
67,58,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,8.1,176.0,5.0,Nintendo,Mario,2010-12-02,,Nintendo,Nintendo,Super Mario 3D All-Stars
68,58,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,8.1,176.0,5.0,Nintendo,Mario,2010-12-02,,Nintendo,Nintendo,Super Mario All-Stars
