,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Note_joueurs,Nb_avis,Note_GK,Editeur,Licence,Date_Test_GK,Distributeur,Développeur,Éditeur,French_name
1848,1608,Ridge Racer V,PS2,2000.0,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,6.2,13.0,6.0,Sony Interactive Entertainment Europe,Ridge Racer,2000-11-09,,Namco,Sony Interactive Entertainment Europe,Ridge Racer V
1849,1609,WWE SmackDown vs. Raw 2009,PS2,2008.0,Fighting,THQ,0.69,0.0,0.0,0.55,1.24,6.9,15.0,7,THQ,,,,"""Yuke's Media Creation""",,
1850,1610,Tetris 2 (All region sales),GB,1992.0,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24,8.0,2.0,7,Sega,Tetris ,,,Sega,,
1851,1611,Star Wars Episode III: Revenge of the Sith,XB,2005.0,Action,Activision,0.82,0.38,0.0,0.04,1.24,6.1,30.0,5,Inc.,LucasArts Entertainment,,,The Collective,,
1852,1612,Ben 10: Protector of Earth,Wii,2007.0,Action,D3Publisher,0.55,0.55,0.0,0.13,1.23,0.0,0.0,4.0,D3 Publisher,Ben 10,2007-12-14,Koch Media,High Voltage Software,D3 Publisher,Ben 10 : Protector of Earth
1853,1612,Ben 10: Protector of Earth,Wii,2007.0,Action,D3Publisher,0.55,0.55,0.0,0.13,1.23,0.0,0.0,4.0,D3 Publisher,Ben 10,2007-12-14,Koch Media,High Voltage Software,D3 Publisher,Ben 10: Protector of Earth
1854,1613,Frogger: The Great Quest,PS2,2001.0,Platform,Konami Digital Entertainment,0.6,0.47,0.0,0.16,1.23,0.0,0.0,3.0,Konami,Frogger,2002-05-16,,Konami Digital Entertainment - America,Konami,Frogger : The Great Quest
1855,1613,Frogger: The Great Quest,PS2,2001.0,Platform,Konami Digital Entertainment,0.6,0.47,0.0,0.16,1.23,0.0,0.0,3.0,Konami,Frogger,2002-05-16,,Konami Digital Entertainment - America,Konami,Frogger: The Great Quest
1856,1614,2010 FIFA World Cup South Africa,PS3,2010.0,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,6.8,25.0,7,Electronic Arts,FIFA EA Sports ,,,,Electronic Arts,Coupe du monde de la FIFA : Afrique du Sud 2010
1857,1615,Ninja Gaiden,XB,2004.0,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23,8.3,68.0,9.0,Xbox Game Studios,Ninja Gaiden,2004-05-19,,Tecmo,Xbox Game Studios,Ninja Gaiden
1858,1616,Crash Bandicoot: The Wrath of Cortex,XB,2002.0,Platform,Universal Interactive,0.59,0.57,0.0,0.07,1.23,6.5,16.0,5,Universal Interactive Studios,Crash Bandicoot ,,Vivendi Games,"""Traveller's Tales""",,
1859,1617,Driv3r,PS2,2004.0,Racing,Atari,0.6,0.47,0.0,0.16,1.23,5.7,23.0,3,Atari,Driver ,,,Ubisoft Reflections,,
1860,1618,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,2003.0,Misc,Sony Computer Entertainment,0.69,0.47,0.0,0.08,1.23,,,,,,,,,,
1861,1619,Farming Simulator 2015,PC,2014.0,Simulation,Focus Home Interactive,0.08,1.02,0.0,0.13,1.23,8.0,4.0,,Focus Entertainment,,,,Giants Software,,
1862,1620,Guitar Hero: Aerosmith,X360,2008.0,Misc,Activision,1.0,0.14,0.0,0.1,1.23,5.8,11.0,5.0,Activision,Guitar Hero,2008-07-01,,Neversoft Entertainment,Activision,Guitar Hero : Aerosmith
1863,1620,Guitar Hero: Aerosmith,X360,2008.0,Misc,Activision,1.0,0.14,0.0,0.1,1.23,5.8,11.0,5.0,Activision,Guitar Hero,2008-07-01,,Neversoft Entertainment,Activision,Guitar Hero: Aerosmith
1864,1621,Medal of Honor: Airborne,PS3,2007.0,Shooter,Electronic Arts,0.25,0.7,0.03,0.25,1.23,6.1,19.0,6,Electronic Arts,Medal of Honor ,,,EA Games,,
1865,1622,Kirby Tilt 'n' Tumble,GB,2000.0,Puzzle,Nintendo,0.29,0.17,0.75,0.02,1.23,,,,Nintendo,Kirby ,,,,Nintendo,Kirby Tilt 'n' Tumble
1866,1623,SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003.0,Platform,THQ,0.88,0.33,0.0,0.02,1.23,3.0,1.0,,THQ,"""Bob l'Eponge """,,,,THQ,Bob l'Eponge : Bataille pour Bikini Bottom
1867,1624,Vigilante 8,PS,1998.0,Racing,Activision,0.68,0.47,0.0,0.08,1.23,6.3,14.0,5.0,Activision,Vigilante 8,2008-11-10,,Luxoflux,Activision,Vigilante 8
1868,1625,Castlevania,NES,1986.0,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23,,,,Konami,Castlevania ,,,KCEK,Konami,Castlevania
1869,1626,Donkey Kong Country 2,GBA,2004.0,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,8.6,98.0,7,Nintendo,,,,Nintendo,,
1870,1627,Bayonetta,PS3,2009.0,Action,Sega,0.44,0.41,0.21,0.17,1.23,8.0,523.0,8.0,Sega,Bayonetta,2010-01-05,,PlatinumGames,Sega,Bayonetta
1871,1628,"WarioWare, Inc.: Mega MicroGame$",GBA,2003.0,Puzzle,Nintendo,0.4,0.11,0.7,0.02,1.23,7.5,36.0,7,Nintendo,,,,Intelligent Systems,,
1872,1629,Star Wars: Battlefront II,PSP,2005.0,Shooter,LucasArts,1.05,0.06,0.01,0.11,1.23,5.6,47.0,4,Motive Studios,,,,DICE,,
1873,1630,Madden NFL 17,PS4,2016.0,Sports,Electronic Arts,0.92,0.08,0.0,0.23,1.23,,,,Electronic Arts,Madden NFL ,,,EA Tiburon,,
1874,1631,Boom Blox,Wii,2008.0,Puzzle,Electronic Arts,0.72,0.38,0.0,0.12,1.23,6.8,26.0,7.0,Electronic Arts,Boom Blox,2008-05-16,,,Electronic Arts,Boom Blox
1875,1632,Fallout 4,PC,2015.0,Role-Playing,Bethesda Softworks,0.5,0.63,0.0,0.1,1.23,6.6,147.0,6.0,Bethesda Softworks,Fallout,2015-11-09,,Bethesda Game Studios,Bethesda Softworks,Fallout 4
1876,1633,The Sims 2: Castaway,Wii,2007.0,Simulation,Electronic Arts,0.45,0.64,0.0,0.14,1.23,6.1,7.0,5,Electronic Arts,,,Electronic Arts,,Electronic Arts,Les Sims 2 : Naufragés
1877,1634,LEGO Batman 2: DC Super Heroes,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.5,0.53,0.0,0.2,1.22,6.6,41.0,,Warner Bros. Interactive Entertainment,,,,"""Traveller's Tales""",,
1878,1635,Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010.0,Fighting,Namco Bandai Games,0.42,0.47,0.15,0.18,1.22,7.4,107.0,7,Bandai Namco Games,Naruto ,,Namco Bandai Partners,CyberConnect2,,
1879,1636,Mario Power Tennis,GC,2004.0,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22,,,,Nintendo,,,,,Nintendo,Mario Power Tennis
1880,1637,Intelligent Qube,PS,1997.0,Puzzle,Sony Computer Entertainment,0.13,0.07,1.0,0.02,1.22,,,,Sony Interactive Entertainment,,,,Sugar and Rockets,,
1881,1638,Game & Watch Gallery 2,GB,1997.0,Misc,Nintendo,0.76,0.3,0.12,0.04,1.22,7.3,3.0,,Nintendo,Game & Watch ,,,Nintendo,,
1882,1639,Game & Watch Gallery 3,GB,1999.0,Misc,Nintendo,0.79,0.31,0.08,0.04,1.22,6.7,3.0,,Nintendo,Game & Watch ,,,Nintendo,,
1883,1640,Pac-Man,NES,1984.0,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22,7.0,38.0,4.0,Namco,Pac-Man,2004-07-09,,,,
1884,1640,Pac-Man,NES,1984.0,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22,7.0,38.0,4.0,Namco,Pac-Man,2004-07-09,,,,Pac-Man
1885,1641,Parfait: Chocolat Second Style,PS2,2006.0,Adventure,Alchemist,0.59,0.46,0.01,0.15,1.22,,,,Alchemist,,,,,Alchemist,Parfait : Chocolat Second Style
1886,1642,F1 2011,PS3,2011.0,Racing,Codemasters,0.12,0.75,0.11,0.25,1.22,7.3,39.0,8.0,Codemasters,F1 (Codemasters),2011-09-22,,Codemasters Birmingham,Codemasters,F1 2011
1887,1643,Cars,PSP,2006.0,Racing,THQ,0.72,0.29,0.0,0.21,1.22,5.3,8.0,4.0,THQ,Pixar,2007-01-02,,Beenox Studio,THQ,Cars
1888,1644,NBA Live 99,PS,1997.0,Sports,Electronic Arts,1.13,0.05,0.0,0.03,1.22,7.8,4.0,,EA Sports,NBA Live ,,,EA Sports,,
1889,1645,Chocobo no Fushigi Dungeon,PS,1997.0,Role-Playing,SquareSoft,0.0,0.0,1.14,0.08,1.22,,,,Squaresoft,,,,Squaresoft,,
1890,1646,Golden Sun: The Lost Age,GBA,2002.0,Role-Playing,Nintendo,0.61,0.27,0.27,0.07,1.22,8.3,96.0,8,Golden Sun ,Golden Sun ,,,Nintendo,,
1891,1647,SimCity 2000,PS,1996.0,Simulation,Maxis,0.68,0.46,0.0,0.08,1.22,7.8,26.0,,Destination Software Inc.,,,Nobilis,Zushi Games,,
1892,1648,Max Payne,XB,2001.0,Shooter,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22,8.2,154.0,7.0,Rockstar Games,Max Payne,2002-03-20,,Rockstar Vancouver,Take Two Interactive,Max Payne 3
1893,1648,Max Payne,XB,2001.0,Shooter,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22,8.2,154.0,7.0,Rockstar Games,Max Payne,2002-03-20,,Rockstar Vancouver,Take Two Interactive,Max Payne
1894,1649,WCW Mayhem,PS,1998.0,Fighting,Electronic Arts,0.68,0.46,0.0,0.08,1.22,7.0,1.0,,Electronic Arts,WCW ,,,WayForward,,
1895,1650,NBA 2K2,PS2,2002.0,Sports,Sega,0.59,0.46,0.01,0.15,1.22,8.7,9.0,9.0,Sega,NBA 2K,2002-03-08,,Sega Sports,Sega,NBA 2K2
1896,1651,NASCAR Thunder 2003,PS2,,Racing,Unknown,0.6,0.46,0.0,0.16,1.22,,,,Electronic Arts,Nascar (EA Sports) ,,,,Electronic Arts,Nascar Thunder 2003
1897,1652,Super Street Fighter IV: 3D Edition,3DS,2011.0,Fighting,Capcom,0.55,0.44,0.14,0.09,1.22,7.9,260.0,8,Capcom,Street Fighter ,,Nintendo,Capcom,,
1898,1653,Cars,PS2,2006.0,Racing,THQ,1.01,0.04,0.0,0.16,1.21,5.3,8.0,4.0,THQ,Pixar,2007-01-02,,Beenox Studio,THQ,Cars
1899,1654,Fuzion Frenzy,XB,2001.0,Misc,Microsoft Game Studios,0.93,0.24,0.0,0.04,1.21,5.5,2.0,3.0,Microsoft Corp.,Fuzion Frenzy,2002-03-06,Microsoft Corp.,Blitz Games,Microsoft Corp.,Fuzion Frenzy
1900,1655,Call of Duty: Finest Hour,XB,2004.0,Shooter,Activision,0.78,0.4,0.0,0.04,1.21,6.3,18.0,5,Activision,Call of Duty ,,Activision,Spark Unlimited,,
1901,1656,FIFA Soccer 11,PSP,2010.0,Sports,Electronic Arts,0.13,0.7,0.01,0.37,1.21,7.5,108.0,8,Electronic Arts,FIFA EA Sports ,,,EA Canada,,
1902,1657,Sly Cooper and the Thievius Raccoonus,PS2,2002.0,Platform,Sony Computer Entertainment,1.03,0.14,0.0,0.04,1.21,7.7,37.0,8,Sony Interactive Entertainment Europe,Sly Raccoon ,,,Sucker Punch,,
1903,1658,LEGO Indiana Jones 2: The Adventure Continues,DS,2009.0,Action,Activision,0.66,0.43,0.0,0.12,1.21,6.2,13.0,6,LucasArts Entertainment,,,,"""Traveller's Tales""",,
1904,1659,The Magical Quest starring Mickey Mouse,SNES,1992.0,Platform,Capcom,0.66,0.17,0.35,0.03,1.21,7.5,35.0,,Nintendo,,,,,Nintendo,Magical Quest Starring Mickey & Minnie
1905,1660,Dragon Quest IV: Michibikareshi Monotachi,PS,2001.0,Role-Playing,Enix Corporation,0.0,0.0,1.2,0.01,1.21,7.4,116.0,7,Enix,Dragon Quest ,,Ubisoft,ArtePiazza,,
1906,1661,Star Wars Episode 1: Jedi Power Battles,PS,1999.0,Action,LucasArts,0.66,0.48,0.01,0.06,1.21,4.6,5.0,3,LucasArts Entertainment,,,,LucasArts Entertainment,,
1907,1662,Dino Crisis 2,PS,2000.0,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21,7.2,32.0,7.0,Capcom,Dino Crisis,2000-10-11,Avalon Interactive (Virgin Interactive),Capcom,Capcom,Dino Crisis 2
1908,1663,Need for Speed Underground,GC,2003.0,Racing,Electronic Arts,0.69,0.48,0.01,0.03,1.21,7.1,53.0,7,Electronic Arts,Need For Speed ,,,EA Black Box,,
1909,1664,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,2007.0,Misc,,0.87,0.32,0.0,0.02,1.21,5.0,2.0,5,Activision,Shrek ,,,Luxoflux,,
1910,1665,Test Drive 4,PS,1997.0,Racing,Electronic Arts,0.67,0.46,0.0,0.08,1.21,6.0,1.0,,Accolade,Test Drive ,,,Midway Studios - Newcastle,,
1911,1666,FIFA Soccer 07,PSP,2006.0,Sports,Electronic Arts,0.24,0.65,0.0,0.32,1.21,6.5,14.0,7,EA Sports,FIFA EA Sports ,,Electronic Arts,EA Sports,,
1912,1667,World Soccer Winning Eleven 9 (JP & Others sales),PSP,2005.0,Sports,Konami Digital Entertainment,0.01,0.88,0.31,0.0,1.2,8.0,1.0,,Konami,eFootball (Pro Evolution Soccer) ,,,KCET,,
1913,1668,The Lord of the Rings: The Fellowship of the Ring,PS2,2002.0,Action,Black Label Games,0.59,0.46,0.0,0.15,1.2,5.4,8.0,5,Black Label Games,Le Seigneur des Anneaux ,,Vivendi Games,WXP Games,,
1914,1669,LEGO Star Wars III: The Clone Wars,PS3,2011.0,Action,LucasArts,0.52,0.49,0.0,0.2,1.2,6.7,21.0,6,Warner Bros. Interactive Entertainment,,,Activision,"""Traveller's Tales""",,
1915,1670,ATV Offroad Fury 3,PS2,2004.0,Racing,SouthPeak Games,1.0,0.04,0.0,0.16,1.2,7.0,1.0,,Sony Interactive Entertainment America,ATV Offroad Fury,,,Climax Studios (UK),,
1916,1671,Pikmin 2,GC,2004.0,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2,,,,Nintendo,,,,Nintendo,Nintendo,Pikmin 2
1917,1672,Just Dance 2016,Wii,2015.0,Misc,Ubisoft,0.52,0.59,0.0,0.1,1.2,,,,Ubisoft,Just Dance ,,,Ubisoft Pune,,
1918,1673,Disney Sing It,Wii,2008.0,Misc,Disney Interactive Studios,0.77,0.31,0.0,0.12,1.2,5.0,1.0,5,Disney Interactive,,,,Zoë Mode,,
1919,1674,Battlefield: Hardline,XOne,2015.0,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.2,6.1,50.0,6,Electronic Arts,Battlefield ,,,Visceral Games,,
1920,1675,WWE 2K16,PS4,2015.0,Sports,Take-Two Interactive,0.41,0.6,0.0,0.19,1.2,5.4,5.0,,2K Games,WWE ,,,,2K Games,WWE 2K16
1921,1676,Dragon Ball Z: La Legende Saien,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,1.2,0.0,1.2,7.4,60.0,,Bandai,Dragon Ball ,,,Bandai,,
1922,1677,TwinBee,NES,1986.0,Shooter,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2,7.6,9.0,,Palcom,Twinbee ,,,Konami,,
1923,1678,Ganbare Goemon! Karakuri Douchuu,NES,1986.0,Platform,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2,8.0,1.0,,Nintendo,,,,Konami,,
1924,1679,NFL 2K,DC,1999.0,Sports,Sega,1.12,0.05,0.0,0.02,1.2,,,5,Sega,NFL 2K ,,,Sega Sports,Sega,NFL 2K
1925,1680,SolarStriker,GB,1989.0,Shooter,Nintendo,0.4,0.39,0.36,0.04,1.2,6.8,5.0,,Nintendo,,,,Nintendo,,
1926,1681,Enter the Matrix,XB,2003.0,Action,Atari,0.72,0.43,0.01,0.04,1.2,5.5,31.0,4.0,Atari,The Matrix,2003-05-23,,Shiny Entertainment,Atari,Enter the Matrix
1927,1682,NHL 2002,PS2,2001.0,Sports,Electronic Arts,0.59,0.46,0.0,0.15,1.2,7.8,5.0,8.0,Electronic Arts,NHL EA Sports,2002-04-04,,EA Sports,Electronic Arts,NHL 2002
1928,1683,Mario vs. Donkey Kong 2: March of the Minis,DS,2006.0,Puzzle,Nintendo,0.74,0.03,0.36,0.07,1.2,7.0,22.0,6,Nintendo,,,,Nintendo,,
1929,1684,PokéPark Wii: Pikachu's Adventure,Wii,2009.0,Adventure,Nintendo,0.55,0.17,0.42,0.06,1.2,6.5,2.0,3.0,Nintendo,Pokémon,2010-07-12,,,Nintendo,PokéPark Wii : Pikachu's Adventure
1930,1684,PokéPark Wii: Pikachu's Adventure,Wii,2009.0,Adventure,Nintendo,0.55,0.17,0.42,0.06,1.2,6.5,2.0,3.0,Nintendo,Pokémon,2010-07-12,,,Nintendo,PokéPark Wii: Pikachu's Adventure
1931,1685,One Piece: Pirate Warriors,PS3,2012.0,Action,Namco Bandai Games,0.01,0.24,0.86,0.09,1.2,7.0,41.0,6,Bandai Namco Games,,,,Koei Tecmo,,
1932,1686,WWE 2K14,PS3,2013.0,Sports,Take-Two Interactive,0.49,0.49,0.0,0.21,1.19,7.0,4.0,8.0,2K Sports,WWE,2013-11-04,,2K Games,2K Sports,WWE 2K14
1933,1687,Metal Gear Solid: Portable Ops,PSP,2006.0,Action,Konami Digital Entertainment,0.38,0.35,0.38,0.09,1.19,6.8,78.0,8.0,Konami,Metal Gear,2007-04-26,,Kojima Productions,Konami,Metal Gear Solid : Portable Ops
1934,1687,Metal Gear Solid: Portable Ops,PSP,2006.0,Action,Konami Digital Entertainment,0.38,0.35,0.38,0.09,1.19,6.8,78.0,8.0,Konami,Metal Gear,2007-04-26,,Kojima Productions,Konami,Metal Gear Solid: Portable Ops
1935,1688,Nuclear Strike,PS,1997.0,Simulation,Electronic Arts,0.66,0.45,0.0,0.08,1.19,8.0,2.0,,THQ,Strike ,,,Pacific Coast Power & Light Co.,,
1936,1689,Captain Toad: Treasure Tracker,WiiU,2014.0,Puzzle,Nintendo,0.56,0.36,0.19,0.09,1.19,7.1,96.0,6.0,Nintendo,Mario,2014-12-01,,Nintendo,Nintendo,Captain Toad : Treasure Tracker
1937,1689,Captain Toad: Treasure Tracker,WiiU,2014.0,Puzzle,Nintendo,0.56,0.36,0.19,0.09,1.19,7.1,96.0,6.0,Nintendo,Mario,2014-12-01,,Nintendo,Nintendo,Captain Toad: Treasure Tracker
1938,1690,WWE SmackDown vs Raw 2008,PSP,2007.0,Fighting,THQ,0.45,0.47,0.0,0.28,1.19,5.9,10.0,7,THQ,,,,"""Yuke's Media Creation""",,
1939,1691,The Simpsons: Road Rage,GBA,2003.0,Racing,THQ,0.86,0.32,0.0,0.02,1.19,5.5,4.0,6,Electronic Arts,Les Simpson ,,,Radical Entertainment,,
1940,1692,Pro Evolution Soccer 2008,Wii,2008.0,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19,6.3,45.0,5.857142857142857,Konami,eFootball (Pro Evolution Soccer),2007-10-25,,Konami,Konami,Pro Evolution Soccer 2008
1941,1693,SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002.0,Platform,THQ,0.92,0.23,0.0,0.04,1.19,4.0,1.0,,THQ,"""Bob l'Eponge """,,,,THQ,SpongeBob SquarePants : Revenge of the Flying Dutchman
1942,1694,Mario & Sonic at the London 2012 Olympic Games,3DS,2012.0,Sports,Sega,0.18,0.64,0.27,0.1,1.19,6.3,11.0,6,Sega,,,,,Sega,Mario & Sonic aux Jeux Olympiques de Londres 2012
1943,1695,Scarface: The World is Yours,PS2,2006.0,Action,Vivendi Games,0.99,0.04,0.0,0.16,1.19,6.7,11.0,6.0,Vivendi Games,,2006-10-24,,Radical Entertainment,Vivendi Games,Scarface : The World is Yours
1944,1695,Scarface: The World is Yours,PS2,2006.0,Action,Vivendi Games,0.99,0.04,0.0,0.16,1.19,6.7,11.0,6.0,Vivendi Games,,2006-10-24,,Radical Entertainment,Vivendi Games,Scarface: The World is Yours
1945,1696,Kobe Bryant in NBA Courtside,N64,1998.0,Sports,Nintendo,1.02,0.13,0.04,0.01,1.19,6.8,5.0,,Nintendo,Kobe Bryant in NBA Courtside ,,,Left Field Productions,,
1946,1697,Disney's Chip 'n Dale: Rescue Rangers,NES,1990.0,Platform,Capcom,0.68,0.14,0.35,0.02,1.19,,,,,,,,,,
1947,1698,The Dukes of Hazzard: Racing for Home,PS,1999.0,Racing,Ubisoft,0.99,0.16,0.0,0.04,1.19,,,3,Southpeak Interactive,Shérif fais moi peur ,,,Sinister Games,,
1948,1699,Hitman 2: Silent Assassin,XB,,Action,Eidos Interactive,0.76,0.38,0.0,0.05,1.19,7.9,67.0,8,Eidos Interactive,Hitman ,,,IO Interactive,,
1949,1700,FIFA 14,XOne,2013.0,Sports,Electronic Arts,0.41,0.66,0.0,0.12,1.19,6.9,102.0,7.5,Electronic Arts,FIFA EA Sports,2013-09-23,,EA Canada,Electronic Arts,FIFA 14
1950,1701,Spider-Man: The Movie,GC,2002.0,Action,Activision,0.86,0.27,0.01,0.04,1.19,6.7,27.0,7,Activision,,,,Treyarch,,
1951,1702,Final Fantasy I & II: Dawn of Souls,GBA,2004.0,Role-Playing,Nintendo,0.64,0.24,0.29,0.02,1.19,7.2,66.0,7.0,Square Enix,Final Fantasy,2004-12-03,,Square Enix,Square Enix,Final Fantasy I & II : Dawn of Souls
1952,1702,Final Fantasy I & II: Dawn of Souls,GBA,2004.0,Role-Playing,Nintendo,0.64,0.24,0.29,0.02,1.19,7.2,66.0,7.0,Square Enix,Final Fantasy,2004-12-03,,Square Enix,Square Enix,Final Fantasy I & II: Dawn of Souls
1953,1703,NBA 2K17,PS4,2016.0,Sports,Take-Two Interactive,0.83,0.14,0.0,0.22,1.19,8.1,14.0,7.0,2K Sports,NBA 2K,2016-09-27,,Visual Concepts,2K Sports,NBA 2K17
1954,1704,Pokemon Super Mystery Dungeon,3DS,2015.0,Role-Playing,Nintendo,0.46,0.31,0.33,0.08,1.19,,,,,,,,,,
1955,1705,Just Dance 4,X360,2012.0,Misc,Ubisoft,0.9,0.2,0.0,0.08,1.19,6.0,6.0,6.0,Ubisoft,Just Dance,2012-10-04,,Ubisoft Montpellier,Ubisoft,Just Dance 4
1956,1706,Metal Gear Solid VR Missions,PS,1999.0,Adventure,Konami Digital Entertainment,0.66,0.45,0.0,0.08,1.18,,,,,,,,,,
1957,1707,Pole Position,2600,1982.0,Racing,Atari,1.1,0.07,0.0,0.01,1.18,6.8,4.0,,Atari Corporation,Pole Position ,,,Synergistic Software,,
1958,1708,Resident Evil: Operation Raccoon City,PS3,2012.0,Action,Capcom,0.48,0.25,0.36,0.1,1.18,5.2,32.0,5.0,Capcom,Resident Evil,2012-03-20,,Slant Six Games,Capcom,Resident Evil : Operation Raccoon City
1959,1708,Resident Evil: Operation Raccoon City,PS3,2012.0,Action,Capcom,0.48,0.25,0.36,0.1,1.18,5.2,32.0,5.0,Capcom,Resident Evil,2012-03-20,,Slant Six Games,Capcom,Resident Evil: Operation Raccoon City
1960,1709,LEGO Indiana Jones: The Original Adventures,PSP,2008.0,Action,LucasArts,0.4,0.49,0.0,0.29,1.18,6.5,53.0,6,LucasArts Entertainment,,,,"""Traveller's Tales""",,
1961,1710,Pro Yakyuu Family Stadium '88,NES,1988.0,Sports,Namco Bandai Games,0.1,0.0,1.08,0.0,1.18,,,,Tengen,,,,Namco,,
1962,1711,Shenmue,DC,1999.0,Adventure,Sega,0.52,0.24,0.38,0.04,1.18,9.0,176.0,8.0,Sega,Shenmue,2000-11-20,,d3t,Sega,Shenmue I & II
1963,1711,Shenmue,DC,1999.0,Adventure,Sega,0.52,0.24,0.38,0.04,1.18,9.0,176.0,8.0,Sega,Shenmue,2000-11-20,,d3t,Sega,Shenmue
1964,1712,Mario Tennis,GB,2000.0,Sports,Nintendo,0.5,0.18,0.44,0.06,1.18,,,,Nintendo,,,,Camelot,Nintendo,Mario Tennis Aces
1965,1712,Mario Tennis,GB,2000.0,Sports,Nintendo,0.5,0.18,0.44,0.06,1.18,,,,Nintendo,,,,Camelot,Nintendo,Mario Tennis
1966,1713,Tony Hawk's Pro Skater 2,GBA,2001.0,Sports,Activision,0.85,0.31,0.0,0.02,1.18,7.5,48.0,7.0,Activision,Tony Hawk,2000-12-23,,Vicarious Visions,Activision,Tony Hawk's Pro Skater 1 et 2
1967,1713,Tony Hawk's Pro Skater 2,GBA,2001.0,Sports,Activision,0.85,0.31,0.0,0.02,1.18,7.5,48.0,7.0,Activision,Tony Hawk,2000-12-23,,Vicarious Visions,Activision,Tony Hawk's Pro Skater 2
1968,1714,WWE '12,PS3,2011.0,Fighting,THQ,0.53,0.46,0.02,0.17,1.18,5.8,8.0,7,THQ,WWE ,,,"""Yuke's Media Creation""",,
1969,1715,WWE SmackDown vs. Raw 2010,PS3,2009.0,Fighting,THQ,0.48,0.49,0.01,0.2,1.18,6.6,18.0,5,THQ,,,,"""Yuke's Media Creation""",,
1970,1716,Plants vs. Zombies,DS,2011.0,Strategy,Mastertronic,0.95,0.15,0.0,0.08,1.18,6.8,25.0,6,Electronic Arts,Plantes contre Zombies ,,,PopCap,,
1971,1717,Sonic the Hedgehog,PS3,2006.0,Platform,Sega,0.41,0.07,0.04,0.66,1.18,4.7,22.0,3.0,Sega,Sonic,2007-03-23,,Sonic Team,Sega,Sonic the Hedgehog
1972,1718,Super Ghouls 'n Ghosts,SNES,1991.0,Platform,Capcom,0.5,0.14,0.52,0.02,1.18,7.8,63.0,,Capcom,"""Ghosts'N Goblins """,,,Capcom,,
1973,1719,Spore,PC,2008.0,Strategy,Electronic Arts,0.03,1.06,0.0,0.09,1.17,5.7,47.0,6.0,Electronic Arts,Spore,2008-09-10,Electronic Arts,Maxis,Electronic Arts,Spore
1974,1720,Soviet Strike,PS,1996.0,Simulation,Electronic Arts,0.65,0.44,0.0,0.08,1.17,7.0,5.0,,Electronic Arts,Strike ,,,Electronic Arts,,
1975,1721,Your Shape: Fitness Evolved 2012,X360,2011.0,Sports,Ubisoft,0.7,0.37,0.0,0.1,1.17,7.5,2.0,,Ubisoft,Your Shape ,,,Ubisoft Montréal,,
1976,1722,Army of Two,PS3,2008.0,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,1.17,6.1,31.0,6.0,Electronic Arts,Army of Two,2008-03-13,,EA Montréal,Electronic Arts,Army of Two
1977,1723,Gun,PS2,2005.0,Shooter,Activision,0.98,0.04,0.0,0.16,1.17,6.2,23.0,5.666666666666667,Activision,,2005-11-30,,Neversoft Entertainment,Activision,Gun
1978,1724,Ty the Tasmanian Tiger,PS2,2002.0,Platform,Electronic Arts,0.57,0.45,0.0,0.15,1.17,7.7,3.0,5,Electronic Arts,Ty ,,,Krome Studios,,
1979,1725,Wario Land: Shake It!,Wii,2008.0,Platform,Nintendo,0.6,0.31,0.15,0.11,1.17,6.9,50.0,6,Nintendo,Wario ,,,Good-Feel,,
1980,1726,Sonic Rush Adventure,DS,2007.0,Platform,Sega,0.54,0.49,0.01,0.12,1.17,6.4,21.0,7.0,Sega,Sonic,2007-09-14,Sega,Sonic Team,Sega,Sonic Rush Adventure
1981,1727,Medal of Honor: Warfighter,X360,2012.0,Action,Electronic Arts,0.58,0.47,0.01,0.1,1.17,5.4,26.0,5,Electronic Arts,Medal of Honor ,,Electronic Arts,Danger Close,,
