,Unnamed: 0,Name,Platform,Year,Genre,Publisher,DateSortie,Studio,Score,Rate,Review,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_licence,GK_distributeur
61,72,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,2013-11-01,Infinity Ward,7.3,3.95,826.0,6.72,2.63,0.04,0.82,10.21,Call of Duty,
62,74,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,2010-09-01,Bungie,9.1,8.95,2427.0,7.03,1.98,0.08,0.78,9.88,Halo,
63,76,Mario Kart 64,N64,1996.0,Racing,Nintendo,1997-06-01,Nintendo,8.3,8.7,333.0,5.55,1.94,2.23,0.15,9.87,,
64,77,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,2012-08-01,Nintendo,7.8,6.8,140.0,3.66,3.07,2.47,0.63,9.82,Mario,
65,78,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,2012-11-01,343 Industries,8.7,8.55,1454.0,6.63,2.36,0.04,0.73,9.76,Halo,
66,79,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,1997-09-01,SquareSoft,9.2,9.0,512.0,3.01,2.47,3.28,0.96,9.72,Final Fantasy,
67,81,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,2013-11-01,Infinity Ward,7.1,,1420.0,4.09,3.73,0.38,1.38,9.59,Call of Duty,
68,83,Just Dance 2,Wii,2010.0,Misc,Ubisoft,2010-10-01,Ubisoft,7.4,7.75,151.0,5.84,2.89,0.01,0.78,9.52,Just Dance,
69,84,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,1999-11-01,Polyphony Digital,9.3,8.0,89.0,3.88,3.42,1.69,0.5,9.49,Gran Turismo,
70,85,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,2007-11-01,Infinity Ward,9.4,,1086.0,5.91,2.38,0.13,0.9,9.32,Call of Duty,Activision
